invoice_id,invoice_date,barcode,discount_percentage,price
46,2017-06-07,201210910721620M332935,0.0,40000
46,2017-06-07,18221101145840S334776,0.0,99900
0,2001-01-01,0,0.0,0
1,2017-05-23,182211011421720L334769,0.0,60000
1,2017-05-23,18221101149790M328649,0.0,30000
2,2017-05-23,18221437651010S330421,0.0,50000
3,2017-05-23,20121113021020M333270,0.0,70000
4,2017-05-24,20121008007620L331302,0.0,40000
4,2017-05-24,182210069720270S333950,0.0,60000
4,2017-05-24,20121008001120S332867,0.0,50000
5,2017-05-24,1822120200165908335066,0.0,84900
6,2017-05-24,182210010220550L333896,0.0,70000
6,2017-05-24,20121004101020L332862,0.0,40000
6,2017-05-24,18221001021730M335949,0.0,79900
6,2017-05-24,182211281243805334027,0.0,120000
7,2017-05-25,182210026516120L335895,0.0,64900
8,2017-05-25,20121094171020M333485,0.0,50000
9,2017-05-25,18221004101330L335551,0.0,69900
10,2017-05-25,18221431149800M330428,0.0,50000
10,2017-05-25,182212059016008329985,0.0,20000
11,2017-05-25,18221002651020M335571,0.0,79900
12,2017-05-26,18221101141010M335968,0.0,119900
12,2017-05-26,18221002652510M335925,0.0,69900
13,2017-05-26,20121008001010S332681,0.0,50000
14,2017-05-26,201210941716590L333474,0.0,50000
14,2017-05-26,18221094171010L335016,0.0,50000
14,2017-05-26,20121094179780L333498,0.0,50000
14,2017-05-26,18221001021730S335950,0.0,79900
14,2017-05-26,20121004101160M332840,0.0,40000
14,2017-05-26,182212052210807335082,0.0,109900
15,2017-05-27,1822120134114775329976,0.0,30000
15,2017-05-27,182212059011106329996,0.0,20000
15,2017-05-27,182212059016009329986,0.0,20000
16,2017-05-27,1822110114133S/M335995,0.0,119900
17,2017-05-30,18221091991010L333999,0.0,90000
18,2017-05-30,18221141141020S335002,0.0,109900
18,2017-05-30,18221008001830S334942,0.0,89900
19,2017-05-31,182210080016390L335643,0.0,74900
19,2017-05-31,18221114311330L335694,0.0,119900
5884,2017-05-06,20121001001010S333061,0.0,50000
5884,2017-05-06,20121001961010S331020,0.0,40000
5885,2017-05-06,18221001062360S333924,0.0,100000
5885,2017-05-06,18221141141020L334114,0.0,80000
5885,2017-05-06,20121006973780L333551,0.0,60000
5885,2017-05-06,18221103252910S331588,0.0,70000
5885,2017-05-06,201210941710800L333492,0.0,50000
5886,2017-05-08,182210941718500S327548,0.0,15000
5887,2017-05-08,18221001015590L325959,0.0,30000
5887,2017-05-08,18221091061080U329614,0.0,20000
5887,2017-05-08,18221101141010L326228,0.0,30000
5887,2017-05-08,18221101141010M329651,0.0,40000
5887,2017-05-08,20121008001010L330997,0.0,30000
5887,2017-05-08,20121118077260S333127,0.0,50000
5888,2017-05-08,179212719316040U195212,0.0,10000
5888,2017-05-08,201214311410070M332748,0.0,40000
5888,2017-05-08,18221141141830M333678,0.0,59900
5888,2017-05-08,182210910615890U325418,0.0,10000
5889,2017-05-08,18221001001830M335534,0.0,69900
5890,2017-05-08,20121094171730S332996,0.0,50000
5890,2017-05-08,20121008109770S333414,0.0,40000
5891,2017-05-08,20121431141010M331230,0.0,40000
5892,2017-05-09,17921587531020U197366,0.0,5000
5892,2017-05-09,17921586331450U187366,0.0,20000
5893,2017-05-09,20121006841020U184997,0.0,10000
5894,2017-05-09,20121118077250S333124,0.0,50000
5894,2017-05-09,18221006971020M333839,0.0,60000
5895,2017-05-09,1822100107522M/L323159,0.0,15000
5895,2017-05-09,201210041011840M332855,0.0,40000
5896,2017-05-09,125210010211030S333346,0.0,40000
5897,2017-05-10,201210080011000S330946,0.0,40000
5897,2017-05-10,20121003101080U184988,0.0,10000
5898,2017-05-10,18221431141020S329529,0.0,30000
5899,2017-05-10,18221431141010S335261,0.0,189900
5713,2017-03-22,18221008001120L332137,0.0,40000
5277,2016-12-19,20121004101010M332852,0.0,59900
5278,2016-12-19,18221511931010U335302,0.0,27900
5279,2016-12-19,182210941716590M332608,0.0,40000
5280,2016-12-19,182210979318500S328241,0.0,25000
5281,2016-12-19,1822100107112M/L325513,0.0,15000
5282,2016-12-19,182210080011840S331787,0.0,60000
5283,2016-12-20,18221101145230M329645,0.0,50000
5284,2016-12-20,182211011410070S334272,0.0,119900
5284,2016-12-20,18221091991020M334001,0.0,99900
5284,2016-12-20,18221003751110S333832,0.0,139900
5285,2016-12-20,18221141141010M335009,0.0,109900
5285,2016-12-20,1822100410112S/M334848,0.0,109900
5286,2016-12-20,18221001961020M334922,0.0,89900
5286,2016-12-20,18221004101180S334951,0.0,79900
5286,2016-12-20,18221141145230S334115,0.0,119900
